Sequence#	Timestamp	Hostname	Version	Logger	Severity	Message
1	20210729T145341.607-0400	127.0.0.1	1.15.1	Global	INFO	Hub Service listening on: http://127.0.0.1:9071
2	20210729T145341.613-0400	127.0.0.1	1.15.1	Global	INFO	Hub Service waiting for input...
3	20210729T145350.938-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
4	20210729T145351.005-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
5	20210729T145622.760-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
6	20210729T145626.055-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
7	20210729T150237.055-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
8	20210729T150239.400-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
9	20210729T150239.400-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
10	20210729T151044.561-0400	127.0.0.1	1.15.1	Global	INFO	Successfully closed the engine session
