Logger	Severity	Date	MicroSeconds	ipAddress	AppId	UserId	Message
Request	INFO	2021-08-24T13:04:29.884-04:00	1029500774593.3	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=6jxJdZQcojXXjI7i 1629824669880
Request	INFO	2021-08-24T13:04:29.948-04:00	1029500838400.9	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=6jxJdZQcojXXjI7i 1629824669880 200
Request	INFO	2021-08-24T13:04:30.596-04:00	1029501486666.6	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=vOTWPUXQnFoBeDeR 1629824670595
Request	INFO	2021-08-24T13:04:30.627-04:00	1029501517423.5	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\comtrade	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=vOTWPUXQnFoBeDeR 1629824670595 200
Request	INFO	2021-08-24T13:04:36.610-04:00	1029507500658.5	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=n0aRUN6PWKUZeISN 1629824676609
Request	INFO	2021-08-24T13:04:36.612-04:00	1029507502897.1	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=n0aRUN6PWKUZeISN 1629824676609 200
Request	INFO	2021-08-24T13:04:37.276-04:00	1029508166849.9	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=lxrKVjhPI2ayxGAm 1629824677276
Request	INFO	2021-08-24T13:04:37.280-04:00	1029508170806.4	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\comtrade	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=lxrKVjhPI2ayxGAm 1629824677276 200
Request	INFO	2021-08-24T13:05:59.378-04:00	1029590650759	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=4A2SnjvApmQJrxl2 1629824759376
Request	INFO	2021-08-24T13:05:59.380-04:00	1029590653013.5	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=4A2SnjvApmQJrxl2 1629824759376 200
Request	INFO	2021-08-24T13:06:00.130-04:00	1029591403341.1	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=jabRKDLHx1VYh4Pn 1629824760130
Request	INFO	2021-08-24T13:06:00.136-04:00	1029591408761.8	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\comtrade	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=jabRKDLHx1VYh4Pn 1629824760130 200
Request	INFO	2021-08-24T14:34:19.000-04:00	1034891709319.7	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=nlrA4vus5IaEgkGA 1629830058962
Request	INFO	2021-08-24T14:34:19.014-04:00	1034891724231.3	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=nlrA4vus5IaEgkGA 1629830058962 200
Request	INFO	2021-08-24T14:34:19.589-04:00	1034892298994.5	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CCom%C3%A9rcio%20Exterior%20-%20Algod%C3%A3o	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CCom%C3%A9rcio%20Exterior%20-%20Algod%C3%A3o.qvf/model/current?xrfkey=m30QitH5qgSbIA4e 1629830059589
Request	INFO	2021-08-24T14:34:19.624-04:00	1034892333867	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Comércio Exterior - Algodão	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CCom%C3%A9rcio%20Exterior%20-%20Algod%C3%A3o.qvf/model/current?xrfkey=m30QitH5qgSbIA4e 1629830059589 200
