Logger	Severity	Date	MicroSeconds	Message
System	INFO	2021-07-06T12:58:46.295-04:00	946857291082.3	Starting DataPrep Service, version 3.316.2
System	INFO	2021-07-06T12:58:46.299-04:00	946857294713	Configuration dataPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense, logLevel=info, logToConsole=undefined, logPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense\Log, isSecure=false, ttl=-1, keepAlive=-1, port=9072, hostname=127.0.0.1, engineport=9076, cacheFolderName=DataPrepAppCache, cacheConnectionName=DataPrepAppCache, qvdCleanupInterval=3600, qvdExpirationDays=7
System	INFO	2021-07-06T12:58:46.299-04:00	946857295104.5	Creating server
System	INFO	2021-07-06T12:58:46.300-04:00	946857295848.3	Setting up the server 
System	INFO	2021-07-06T12:58:46.766-04:00	946857762041	Server listening at port 9072
System	INFO	2021-07-06T13:58:46.720-04:00	950457343475.5	QVD caching cleanup job:  Finished in 0.032 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-06T14:58:46.742-04:00	954057350272.1	QVD caching cleanup job:  Finished in 0.029 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-06T15:31:33.225-04:00	956023827453.2	Worker - isWebPacked: true, workerFilePath: "C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\DataPrepService\Worker.bundle.js", this.useThreads: true
System	INFO	2021-07-06T15:31:33.232-04:00	956023834336.2	Spawned 1 child async worker pool (12 were available)
System	INFO	2021-07-06T15:58:46.755-04:00	957657354510	QVD caching cleanup job:  Finished in 0.028 seconds. Totally 0 files and 0 bytes cleaned
