Logger	Severity	Date	MicroSeconds	Message
System	INFO	2021-06-25T14:36:18.425-04:00	2298181161.6	Starting DataPrep Service, version 3.316.2
System	INFO	2021-06-25T14:36:18.433-04:00	2298189338.2	Configuration dataPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense, logLevel=info, logToConsole=undefined, logPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense\Log, isSecure=false, ttl=-1, keepAlive=-1, port=9072, hostname=127.0.0.1, engineport=9076, cacheFolderName=DataPrepAppCache, cacheConnectionName=DataPrepAppCache, qvdCleanupInterval=3600, qvdExpirationDays=7
System	INFO	2021-06-25T14:36:18.434-04:00	2298190086.1	Creating server
System	INFO	2021-06-25T14:36:18.435-04:00	2298190825.7	Setting up the server 
System	INFO	2021-06-25T14:36:18.786-04:00	2298542293.1	Server listening at port 9072
System	INFO	2021-06-25T14:36:41.524-04:00	2321279730.6	Worker - isWebPacked: true, workerFilePath: "C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\DataPrepService\Worker.bundle.js", this.useThreads: true
System	INFO	2021-06-25T14:36:41.528-04:00	2321283606.9	Spawned 1 child async worker pool (12 were available)
System	INFO	2021-06-25T15:36:17.780-04:00	5898205373.3	QVD caching cleanup job:  Finished in 0.012 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-06-25T16:36:17.794-04:00	9498227691.9	QVD caching cleanup job:  Finished in 0.023 seconds. Totally 0 files and 0 bytes cleaned
