Logger	Severity	Date	MicroSeconds	ipAddress	AppId	UserId	Message
Request	INFO	2021-07-05T13:01:58.441-04:00	860647378254	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=C8GZppR3ldyol8KL 1625504518433
Request	INFO	2021-07-05T13:01:58.543-04:00	860647479829.9	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=C8GZppR3ldyol8KL 1625504518433 200
Request	INFO	2021-07-05T13:01:59.226-04:00	860648163153	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=PKz6JiqRvMYVhTAf 1625504519225
Request	INFO	2021-07-05T13:01:59.299-04:00	860648236781.1	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=PKz6JiqRvMYVhTAf 1625504519225 200
Request	INFO	2021-07-05T13:25:29.412-04:00	862059340985.1	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=iiV0pCyVMMhHCu4t 1625505929374
Request	INFO	2021-07-05T13:25:29.428-04:00	862059357516	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=iiV0pCyVMMhHCu4t 1625505929374 200
Request	INFO	2021-07-05T13:25:29.945-04:00	862059874783.6	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=U23oAc48hlcuYDDI 1625505929945
Request	INFO	2021-07-05T13:25:29.974-04:00	862059903219.1	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Comercio Exterior	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=U23oAc48hlcuYDDI 1625505929945 200
Request	INFO	2021-07-05T13:26:03.709-04:00	862093637910.2	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=ujmK9b3SVCJnN84F 1625505963708
Request	INFO	2021-07-05T13:26:03.711-04:00	862093640101.9	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=ujmK9b3SVCJnN84F 1625505963708 200
Request	INFO	2021-07-05T13:26:04.274-04:00	862094203343.5	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=hDmfKqmA8pmn9Dib 1625505964274
Request	INFO	2021-07-05T13:26:04.277-04:00	862094206692.8	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Comercio Exterior	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=hDmfKqmA8pmn9Dib 1625505964274 200
Request	INFO	2021-07-05T13:27:45.818-04:00	862195746810.4	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=sUjXbLWJipsZsmR0 1625506065817
Request	INFO	2021-07-05T13:27:45.821-04:00	862195750011.3	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=sUjXbLWJipsZsmR0 1625506065817 200
Request	INFO	2021-07-05T13:27:46.787-04:00	862196716665.8	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=6fDDbxpkIybzk4eL 1625506066787
Request	INFO	2021-07-05T13:27:46.891-04:00	862196819956.8	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Comercio Exterior	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CComercio%20Exterior.qvf/model/current?xrfkey=6fDDbxpkIybzk4eL 1625506066787 200
Request	INFO	2021-07-05T13:33:28.058-04:00	862537986921.1	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=ipapB9jmsNRlrqwP 1625506408057
Request	INFO	2021-07-05T13:33:28.060-04:00	862537988995.3	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=ipapB9jmsNRlrqwP 1625506408057 200
Request	INFO	2021-07-05T13:33:28.759-04:00	862538688490.4	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=FhOPPp7SlZA0Pydl 1625506408759
Request	INFO	2021-07-05T13:33:28.763-04:00	862538692015.8	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=FhOPPp7SlZA0Pydl 1625506408759 200
Request	INFO	2021-07-05T13:57:31.316-04:00	863981236375.2	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=rTGKtb1sjr12rDI2 1625507851316
Request	INFO	2021-07-05T13:57:31.322-04:00	863981242201.9	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=rTGKtb1sjr12rDI2 1625507851316 200
Request	INFO	2021-07-05T13:57:35.895-04:00	863985815446.6	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/last/classification?xrfkey=E3XHMM9Dyacfmjga 1625507855895
Request	INFO	2021-07-05T13:57:36.227-04:00	863986146768.9	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/last/classification?xrfkey=E3XHMM9Dyacfmjga 1625507855895 200
