Logger	Severity	Date	MicroSeconds	Message
System	INFO	2021-07-01T13:07:44.109-04:00	515389815588.5	Starting DataPrep Service, version 3.316.2
System	INFO	2021-07-01T13:07:44.113-04:00	515389819478.5	Configuration dataPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense, logLevel=info, logToConsole=undefined, logPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense\Log, isSecure=false, ttl=-1, keepAlive=-1, port=9072, hostname=127.0.0.1, engineport=9076, cacheFolderName=DataPrepAppCache, cacheConnectionName=DataPrepAppCache, qvdCleanupInterval=3600, qvdExpirationDays=7
System	INFO	2021-07-01T13:07:44.113-04:00	515389819831.4	Creating server
System	INFO	2021-07-01T13:07:44.114-04:00	515389820478.7	Setting up the server 
System	INFO	2021-07-01T13:07:44.477-04:00	515390184343.9	Server listening at port 9072
System	INFO	2021-07-01T14:07:44.118-04:00	518989879640.4	QVD caching cleanup job:  Finished in 0.049 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-01T14:45:43.983-04:00	521269735554.8	Worker - isWebPacked: true, workerFilePath: "C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\DataPrepService\Worker.bundle.js", this.useThreads: true
System	INFO	2021-07-01T14:45:43.990-04:00	521269743475	Spawned 1 child async worker pool (12 were available)
System	INFO	2021-07-01T15:07:44.108-04:00	522589854465.4	QVD caching cleanup job:  Finished in 0.024 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-01T16:07:44.112-04:00	526189862344.2	QVD caching cleanup job:  Finished in 0.025 seconds. Totally 0 files and 0 bytes cleaned
