Logger	Severity	Date	MicroSeconds	ipAddress	AppId	UserId	Message
Request	INFO	2021-08-19T13:07:30.688-04:00	597679845761.3	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=VuA80N6D1hvnDoME 1629392850686
Request	INFO	2021-08-19T13:07:30.747-04:00	597679904890.2	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=VuA80N6D1hvnDoME 1629392850686 200
Request	INFO	2021-08-19T13:07:31.394-04:00	597680552062	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ctesttes%202221211121	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ctesttes%202221211121.qvf/model/current?xrfkey=MsW9T9zVZRESNTQj 1629392851393
Request	INFO	2021-08-19T13:07:31.431-04:00	597680588834.3	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\testtes 2221211121	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ctesttes%202221211121.qvf/model/current?xrfkey=MsW9T9zVZRESNTQj 1629392851393 200
Request	INFO	2021-08-19T13:09:08.257-04:00	597777415081.2	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=gh6ksoaLEo4q7Uex 1629392948256
Request	INFO	2021-08-19T13:09:08.260-04:00	597777417862	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=gh6ksoaLEo4q7Uex 1629392948256 200
Request	INFO	2021-08-19T13:09:08.797-04:00	597777955260	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=TC9XFRgRW1736qTo 1629392948797
Request	INFO	2021-08-19T13:09:08.810-04:00	597777967675.1	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\comtrade	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Ccomtrade.qvf/model/current?xrfkey=TC9XFRgRW1736qTo 1629392948797 200
Request	INFO	2021-08-19T13:17:24.592-04:00	598273754666.7	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=cxvGDfOiyYwEiz6L 1629393444592
Request	INFO	2021-08-19T13:17:24.594-04:00	598273756923.2	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=cxvGDfOiyYwEiz6L 1629393444592 200
