Logger	Severity	Date	MicroSeconds	Message
System	INFO	2021-07-23T12:57:48.147-04:00	73022696731.1	Starting DataPrep Service, version 3.316.2
System	INFO	2021-07-23T12:57:48.176-04:00	73022725510.4	Configuration dataPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense, logLevel=info, logToConsole=undefined, logPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense\Log, isSecure=false, ttl=-1, keepAlive=-1, port=9072, hostname=127.0.0.1, engineport=9076, cacheFolderName=DataPrepAppCache, cacheConnectionName=DataPrepAppCache, qvdCleanupInterval=3600, qvdExpirationDays=7
System	INFO	2021-07-23T12:57:48.176-04:00	73022726250.2	Creating server
System	INFO	2021-07-23T12:57:48.178-04:00	73022728217.4	Setting up the server 
System	INFO	2021-07-23T12:57:49.040-04:00	73023590040.2	Server listening at port 9072
System	INFO	2021-07-23T13:52:43.336-04:00	76317561976.3	Worker - isWebPacked: true, workerFilePath: "C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\DataPrepService\Worker.bundle.js", this.useThreads: true
System	INFO	2021-07-23T13:52:43.339-04:00	76317565093.5	Spawned 1 child async worker pool (12 were available)
System	INFO	2021-07-23T13:57:48.563-04:00	76622792485.1	QVD caching cleanup job:  Finished in 0.046 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-23T14:57:48.573-04:00	80222783872.5	QVD caching cleanup job:  Finished in 0.035 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-23T15:57:48.589-04:00	83822792218.6	QVD caching cleanup job:  Finished in 0.034 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-07-23T16:57:48.637-04:00	87422836758.2	QVD caching cleanup job:  Finished in 0.076 seconds. Totally 1 files and 3470886 bytes cleaned
