Logger	Severity	Date	MicroSeconds	Message
System	INFO	2021-08-17T13:00:48.518-04:00	424477049202.4	Starting DataPrep Service, version 3.316.2
System	INFO	2021-08-17T13:00:48.522-04:00	424477053747.6	Configuration dataPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense, logLevel=info, logToConsole=undefined, logPath=C:\Users\leninne.pirovano\Documents\Qlik\Sense\Log, isSecure=false, ttl=-1, keepAlive=-1, port=9072, hostname=127.0.0.1, engineport=9076, cacheFolderName=DataPrepAppCache, cacheConnectionName=DataPrepAppCache, qvdCleanupInterval=3600, qvdExpirationDays=7
System	INFO	2021-08-17T13:00:48.523-04:00	424477054279.9	Creating server
System	INFO	2021-08-17T13:00:48.524-04:00	424477055428.1	Setting up the server 
System	INFO	2021-08-17T13:00:48.977-04:00	424477508694.3	Server listening at port 9072
System	INFO	2021-08-17T14:00:50.325-04:00	428077185610.1	QVD caching cleanup job:  Finished in 0.114 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-08-17T14:35:02.737-04:00	430129574528.6	Worker - isWebPacked: true, workerFilePath: "C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\DataPrepService\Worker.bundle.js", this.useThreads: true
System	INFO	2021-08-17T14:35:02.749-04:00	430129586453.5	Spawned 1 child async worker pool (12 were available)
System	INFO	2021-08-17T15:00:50.348-04:00	431677166623.1	QVD caching cleanup job:  Finished in 0.088 seconds. Totally 0 files and 0 bytes cleaned
System	INFO	2021-08-17T16:00:50.367-04:00	435277145216.3	QVD caching cleanup job:  Finished in 0.055 seconds. Totally 0 files and 0 bytes cleaned
