Logger	Severity	Date	MicroSeconds	ipAddress	AppId	UserId	Message
Request	INFO	2021-07-16T13:00:30.612-04:00	691353442756	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=gpfCkL9Qa87mJ7Gd 1626454830607
Request	INFO	2021-07-16T13:00:30.680-04:00	691353511026.5	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=gpfCkL9Qa87mJ7Gd 1626454830607 200
Request	INFO	2021-07-16T13:00:31.242-04:00	691354072639.5	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=qYFtdKe7lXLjUb4W 1626454831241
Request	INFO	2021-07-16T13:00:31.292-04:00	691354122542.9	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=qYFtdKe7lXLjUb4W 1626454831241 200
Request	INFO	2021-07-16T13:01:12.572-04:00	691395403353.5	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=dHSKX2MeL0RwC5Ve 1626454872572
Request	INFO	2021-07-16T13:01:12.579-04:00	691395409861.9	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=dHSKX2MeL0RwC5Ve 1626454872572 200
Request	INFO	2021-07-16T13:01:13.499-04:00	691396330316.6	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=LpHpYGCVW3hcp9FH 1626454873499
Request	INFO	2021-07-16T13:01:13.506-04:00	691396337290.3	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=LpHpYGCVW3hcp9FH 1626454873499 200
Request	INFO	2021-07-16T13:03:12.478-04:00	691515308709.1	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=9mNDYMMzEb9KEp7e 1626454992477
Request	INFO	2021-07-16T13:03:12.482-04:00	691515312796.3	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=9mNDYMMzEb9KEp7e 1626454992477 200
